st_trend,dist_to_st,atr_pct,rsi,adx,bb_width,vol_ratio,label
-1.0,0.6746079282906668,0.7754447744165778,55.99199903139103,11.730607704767861,1.88166298997675,1.469888715590229,1
-1.0,1.1567738119999196,0.8345980555680402,49.47264737227185,26.317049792897734,2.716642508215566,0.9141458324460953,0
-1.0,0.7334266211516868,0.909650346059471,55.2420535199452,17.092466796736378,2.0554757175760643,1.0166347274353078,0
1.0,3.3006089322044976,0.896782143143069,62.013556515406925,16.94764100254374,2.6162808542756317,2.047191802200058,1
1.0,0.5044620647233446,1.0817133218682362,55.93363037434075,37.38190746538034,5.855985248648563,1.0595895455110123,1
1.0,0.16637205874709338,1.0714290992346756,53.38488464509343,35.47705261393171,5.6476203589297205,0.8785752044819258,1
1.0,0.3105901777037351,1.0202786244777586,54.33883817023975,33.792606937414384,5.460524733845758,0.7138738550606636,1
1.0,0.41868566647149896,0.9788754038949141,55.082688624229746,32.0461638104492,5.28936836495373,1.1326997300871013,1
1.0,0.02841690076727925,0.9562380475012862,51.8102768133339,30.184583368329246,5.00944529084047,0.8271255130585244,1
1.0,1.2043894021199963,0.9901520900376551,59.65081459259031,29.266055176869976,4.853929326610598,1.6482155316097566,1
1.0,0.9130763416450937,0.9283352184318198,55.96636833031676,25.999352424171338,3.376327457662698,0.7470319474570372,1
-1.0,5.0091146320263995,1.3454738752964501,42.35841183610799,28.224175115639458,4.942177280957774,3.024131221058726,1
1.0,4.498411225678613,1.2653940439479172,60.95833041771565,40.77559382066646,3.4917895862260893,4.083091531288566,0
-1.0,3.420362700845265,1.0813435172148493,36.765251680578565,22.92011749917925,5.210760569893418,2.8962509888814187,1
-1.0,0.7021469319914811,1.174770165855058,55.60912138938497,21.743951439298748,3.4464278830581416,0.817583264615477,1
-1.0,0.8849211844550432,1.1057353670332428,54.33194194948402,20.89197026192985,3.444064223221046,0.47501260804026413,1
-1.0,1.0914299760695059,1.0943194433744408,52.86041224492999,19.626763935913136,3.6144233646246193,1.0509701468803228,1
-1.0,0.3235836764234098,1.110857795091733,56.1859150036541,25.93888120961721,1.9219006062094819,1.4923277651309668,0
-1.0,0.40390885668807425,1.05595472121523,55.45833999369923,24.438721349859186,2.191262938935386,0.9440195664875175,0
-1.0,0.8619299895131672,1.0592416619767144,51.39341924458892,23.51118896791014,2.247141104239364,1.2131705730985065,0
1.0,3.6235774822294986,1.2486966463095441,58.555039968346385,23.695794455294678,2.6541019493571087,3.0556100516015796,0
1.0,0.6742756415126163,0.6739456162469615,48.17060665831125,30.68332378920302,1.4816288510620987,1.6924527953443598,1
1.0,1.1271892990173205,0.8133547835169335,49.88440721731095,21.991502596350944,2.122619785143454,2.6944546727101777,0
1.0,0.4005217565501071,0.7882022517758978,39.94816403866209,16.61985082354943,2.272573743330501,0.6513305603654788,0
1.0,0.8374480857822245,0.7544641988513371,44.91225341415904,17.26511675935799,2.3318062312989505,0.3905267074593597,0
-1.0,1.6272585829668265,0.5090614494228265,35.06186120216452,21.435497088876566,2.066071113390143,2.7205224229994545,1
1.0,2.78517933584618,0.6782949297787896,64.58682260151888,40.37139115749221,2.4241139952176716,1.5335188489116456,1
-1.0,3.8642374949948106,1.1821614495145425,46.64722322921935,48.64873967182247,3.5450578530398373,2.431747306690877,0
-1.0,0.39794128621318603,1.3034571577594156,57.868845255046914,36.25449750122665,4.2567050623171685,1.0455365694406515,0
